tags,topic,difficulty,estimated_time
two pointer,Arrays,easy,15
binary search,Searching,medium,25
greedy,Arrays,easy,15
dfs traversal,Graphs,hard,45
sliding window,Dynamic Programming,hard,50
recursion,Backtracking,medium,30
two pointer,Arrays,easy,20
heap,Trees,medium,35
union find,Graphs,hard,60
prefix sum,Math,medium,25
topological sort,Graphs,hard,55
bfs traversal,Graphs,hard,50
recursion,Trees,medium,30
binary search,Searching,easy,20
greedy,Arrays,medium,35
dfs traversal,Trees,hard,40
union find,Bit Manipulation,medium,45
sliding window,Arrays,hard,40
two pointer,Linked List,easy,15
heap,Dynamic Programming,medium,35
prefix sum,Sorting,medium,30
binary search,Arrays,easy,15
recursion,Backtracking,hard,50
greedy,Math,easy,20
dfs traversal,Graphs,hard,60
union find,Graphs,hard,55
topological sort,Graphs,hard,50
bfs traversal,Trees,medium,35
sliding window,Dynamic Programming,medium,40
two pointer,Arrays,easy,15
heap,Trees,medium,30
prefix sum,Math,medium,25
binary search,Searching,easy,20
recursion,Backtracking,medium,35
greedy,Arrays,easy,15
dfs traversal,Graphs,hard,55
union find,Graphs,hard,60
topological sort,Graphs,hard,50
bfs traversal,Trees,medium,30
sliding window,Dynamic Programming,hard,45
two pointer,Linked List,easy,15
heap,Trees,medium,35
prefix sum,Math,medium,25
binary search,Searching,easy,20
recursion,Backtracking,medium,30
greedy,Arrays,easy,15
dfs traversal,Graphs,hard,50
union find,Graphs,hard,60
topological sort,Graphs,hard,55
bfs traversal,Trees,medium,35
sliding window,Dynamic Programming,hard,45
two pointer,Arrays,easy,15
heap,Trees,medium,30
prefix sum,Math,medium,25
binary search,Searching,easy,20
recursion,Backtracking,medium,35
greedy,Arrays,easy,15
dfs traversal,Graphs,hard,50
union find,Graphs,hard,60
topological sort,Graphs,hard,55
bfs traversal,Trees,medium,35
sliding window,Dynamic Programming,hard,45
two pointer,Linked List,easy,15
heap,Trees,medium,30
prefix sum,Math,medium,25
binary search,Searching,easy,20
recursion,Backtracking,medium,35
greedy,Arrays,easy,15
dfs traversal,Graphs,hard,50
union find,Graphs,hard,60
topological sort,Graphs,hard,55
bfs traversal,Trees,medium,35
sliding window,Dynamic Programming,hard,45
two pointer,Arrays,easy,15
heap,Trees,medium,30
prefix sum,Math,medium,25
binary search,Searching,easy,20
recursion,Backtracking,medium,35
greedy,Arrays,easy,15
dfs traversal,Graphs,hard,50
union find,Graphs,hard,60
topological sort,Graphs,hard,55
bfs traversal,Trees,medium,35
sliding window,Dynamic Programming,hard,45
two pointer,Linked List,easy,15
heap,Trees,medium,30
prefix sum,Math,medium,25
binary search,Searching,easy,20
recursion,Backtracking,medium,35
greedy,Arrays,easy,15
dfs traversal,Graphs,hard,50
union find,Graphs,hard,60
topological sort,Graphs,hard,55
bfs traversal,Trees,medium,35
sliding window,Dynamic Programming,hard,45
two pointer,Arrays,easy,15
heap,Trees,medium,30
prefix sum,Math,medium,25
binary search,Searching,easy,20
recursion,Backtracking,medium,35
greedy,Arrays,easy,15
dfs traversal,Graphs,hard,50
union find,Graphs,hard,60
topological sort,Graphs,hard,55
bfs traversal,Trees,medium,35
sliding window,Dynamic Programming,hard,45
two pointer,Linked List,easy,15
heap,Trees,medium,30
prefix sum,Math,medium,25
binary search,Searching,easy,20
recursion,Backtracking,medium,35
greedy,Arrays,easy,15
dfs traversal,Graphs,hard,50
union find,Graphs,hard,60
topological sort,Graphs,hard,55
bfs traversal,Trees,medium,35
sliding window,Dynamic Programming,hard,45
two pointer,Arrays,easy,15
heap,Trees,medium,30
prefix sum,Math,medium,25
binary search,Searching,easy,20
recursion,Backtracking,medium,35
greedy,Arrays,easy,15
dfs traversal,Graphs,hard,50
union find,Graphs,hard,60
topological sort,Graphs,hard,55
bfs traversal,Trees,medium,35
sliding window,Dynamic Programming,hard,45
two pointer,Linked List,easy,15
heap,Trees,medium,30
prefix sum,Math,medium,25
binary search,Searching,easy,20
recursion,Backtracking,medium,35
greedy,Arrays,easy,15
dfs traversal,Graphs,hard,50
union find,Graphs,hard,60
topological sort,Graphs,hard,55
bfs traversal,Trees,medium,35
sliding window,Dynamic Programming,hard,45
two pointer,Arrays,easy,15
heap,Trees,medium,30
prefix sum,Math,medium,25
binary search,Searching,easy,20
recursion,Backtracking,medium,35
greedy,Arrays,easy,15
dfs traversal,Graphs,hard,50
union find,Graphs,hard,60
topological sort,Graphs,hard,55
bfs traversal,Trees,medium,35
sliding window,Dynamic Programming,hard,45
two pointer,Linked List,easy,15
heap,Trees,medium,30
prefix sum,Math,medium,25
binary search,Searching,easy,20
recursion,Backtracking,medium,35
greedy,Arrays,easy,15
dfs traversal,Graphs,hard,50
union find,Graphs,hard,60
topological sort,Graphs,hard,55
bfs traversal,Trees,medium,35
sliding window,Dynamic Programming,hard,45
two pointer,Arrays,easy,15
heap,Trees,medium,30
prefix sum,Math,medium,25
binary search,Searching,easy,20
recursion,Backtracking,medium,35
greedy,Arrays,easy,15
dfs traversal,Graphs,hard,50
union find,Graphs,hard,60
topological sort,Graphs,hard,55
bfs traversal,Trees,medium,35
sliding window,Dynamic Programming,hard,45
two pointer,Linked List,easy,15
heap,Trees,medium,30
prefix sum,Math,medium,25
binary search,Searching,easy,20
recursion,Backtracking,medium,35
greedy,Arrays,easy,15
dfs traversal,Graphs,hard,50
union find,Graphs,hard,60
topological sort,Graphs,hard,55
bfs traversal,Trees,medium,35
sliding window,Dynamic Programming,hard,45
two pointer,Arrays,easy,15
heap,Trees,medium,30
prefix sum,Math,medium,25
binary search,Searching,easy,20
recursion,Backtracking,medium,35
greedy,Arrays,easy,15
dfs traversal,Graphs,hard,50
union find,Graphs,hard,60
topological sort,Graphs,hard,55
bfs traversal,Trees,medium,35
sliding window,Dynamic Programming,hard,45
two pointer,Linked List,easy,15
heap,Trees,medium,30
prefix sum,Math,medium,25
binary search,Searching,easy,20
recursion,Backtracking,medium,35
greedy,Arrays,easy,15
dfs traversal,Graphs,hard,50
union find,Graphs,hard,60
topological sort,Graphs,hard,55
bfs traversal,Trees,medium,35
sliding window,Dynamic Programming,hard,45
two pointer,Arrays,easy,15
heap,Trees,medium,30
prefix sum,Math,medium,25
binary search,Searching,easy,20
recursion,Backtracking,medium,35
greedy,Arrays,easy,15
dfs traversal,Graphs,hard,50
union find,Graphs,hard,60
topological sort,Graphs,hard,55
bfs traversal,Trees,medium,35
sliding window,Dynamic Programming,hard,45
two pointer,Linked List,easy,15
heap,Trees,medium,30
prefix sum,Math,medium,25
binary search,Searching,easy,20
recursion,Backtracking,medium,35
greedy,Arrays,easy,15
dfs traversal,Graphs,hard,50
union find,Graphs,hard,60
topological sort,Graphs,hard,55
bfs traversal,Trees,medium,35
sliding window,Dynamic Programming,hard,45
two pointer,Arrays,easy,15
heap,Trees,medium,30
prefix sum,Math,medium,25
binary search,Searching,easy,20
recursion,Backtracking,medium,35
greedy,Arrays,easy,15
dfs traversal,Graphs,hard,50
union find,Graphs,hard,60
topological sort,Graphs,hard,55
bfs traversal,Trees,medium,35
sliding window,Dynamic Programming,hard,45
two pointer,Linked List,easy,15
heap,Trees,medium,30
prefix sum,Math,medium,25
binary search,Searching,easy,20
recursion,Backtracking,medium,35
greedy,Arrays,easy,15
dfs traversal,Graphs,hard,50
union find,Graphs,hard,60
topological sort,Graphs,hard,55
bfs traversal,Trees,medium,35
sliding window,Dynamic Programming,hard,45
two pointer,Arrays,easy,15
heap,Trees,medium,30
prefix sum,Math,medium,25
binary search,Searching,easy,20
recursion,Backtracking,medium,35
greedy,Arrays,easy,15
dfs traversal,Graphs,hard,50
union find,Graphs,hard,60
topological sort,Graphs,hard,55
bfs traversal,Trees,medium,35
sliding window,Dynamic Programming,hard,45
two pointer,Linked List,easy,15
heap,Trees,medium,30
prefix sum,Math,medium,25
binary search,Searching,easy,20
recursion,Backtracking,medium,35
greedy,Arrays,easy,15
dfs traversal,Graphs,hard,50
union find,Graphs,hard,60
topological sort,Graphs,hard,55
bfs traversal,Trees,medium,35
sliding window,Dynamic Programming,hard,45
two pointer,Arrays,easy,15
heap,Trees,medium,30
prefix sum,Math,medium,25
binary search,Searching,easy,20
recursion,Backtracking,medium,35
greedy,Arrays,easy,15
dfs traversal,Graphs,hard,50
union find,Graphs,hard,60
topological sort,Graphs,hard,55
bfs traversal,Trees,medium,35
sliding window,Dynamic Programming,hard,45
two pointer,Linked List,easy,15
heap,Trees,medium,30
prefix sum,Math,medium,25
binary search,Searching,easy,20
recursion,Backtracking,medium,35
greedy,Arrays,easy,15
dfs traversal,Graphs,hard,50
union find,Graphs,hard,60
topological sort,Graphs,hard,55
bfs traversal,Trees,medium,35
sliding window,Dynamic Programming,hard,45
two pointer,Arrays,easy,15
heap,Trees,medium,30
prefix sum,Math,medium,25
binary search,Searching,easy,20
recursion,Backtracking,medium,35
greedy,Arrays,easy,15
dfs traversal,Graphs,hard,50
union find,Graphs,hard,60
topological sort,Graphs,hard,55
bfs traversal,Trees,medium,35
sliding window,Dynamic Programming,hard,45
two pointer,Linked List,easy,15
heap,Trees,medium,30
prefix sum,Math,medium,25
binary search,Searching,easy,20
recursion,Backtracking,medium,35
greedy,Arrays,easy,15
